,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
30,2,2015-01-15 19:05:42,2015-01-15 19:14:23,1,1.38,-73.9697723389,40.785610199,1,N,-73.9507064819,40.7746810913,1,7.5,1.0,0.5,1.7,0.0,0.3,11.0
31,2,2015-01-15 19:05:43,2015-01-15 19:05:44,2,0.01,0.0,0.0,5,N,0.0,0.0,1,60.0,0.0,0.0,0.0,0.0,0.3,60.3
32,2,2015-01-15 19:05:43,2015-01-15 19:17:43,2,2.23,-73.9850921631,40.7569885254,1,N,-73.98487854,40.7801513672,1,10.0,1.0,0.5,2.2,0.0,0.3,14.0
33,2,2015-01-15 19:05:43,2015-01-15 19:15:17,1,1.56,-73.9661636353,40.7621612549,1,N,-73.950050354,40.7762527466,1,8.0,1.0,0.5,1.8,0.0,0.3,11.6
34,2,2015-01-15 19:05:43,2015-01-15 19:15:09,5,1.57,-73.9784240723,40.7462081909,1,N,-73.98021698,40.7285423279,1,8.0,1.0,0.5,1.8,0.0,0.3,11.6
35,2,2015-01-15 19:05:44,2015-01-15 19:17:44,1,2.92,-73.9983520508,40.7200317383,1,N,-73.9558258057,40.7155990601,1,12.5,1.0,0.5,2.7,0.0,0.3,17.0
36,1,2015-01-10 19:12:21,2015-01-10 19:31:33,1,2.9,-74.0030517578,40.7277183533,1,N,-73.9760360718,40.7639694214,2,13.5,0.0,0.5,0.0,0.0,0.3,14.3
37,1,2015-01-10 19:12:21,2015-01-10 19:46:08,1,16.4,-73.9770965576,40.7631721497,2,N,-73.7907104492,40.6442756653,1,52.0,0.0,0.5,10.0,0.0,0.3,62.8
38,2,2015-01-25 00:13:04,2015-01-25 00:13:18,1,0.02,-73.9948120117,40.7277412415,1,N,-73.9969406128,40.7255592346,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8
39,2,2015-01-25 00:13:05,2015-01-25 00:29:11,1,1.73,-73.9859390259,40.726764679,1,N,-74.0065460205,40.737865448,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3
40,2,2015-01-25 00:13:05,2015-01-25 00:25:43,1,2.25,-73.9799880981,40.7432746887,1,N,-74.0080871582,40.7390556335,1,10.5,0.5,0.5,2.36,0.0,0.3,14.16
41,2,2015-01-25 00:13:05,2015-01-25 00:25:50,1,3.53,-73.9889678955,40.7216796875,1,N,-73.978729248,40.7624702454,2,12.5,0.5,0.5,0.0,0.0,0.3,13.8
42,2,2015-01-25 00:13:06,2015-01-25 00:23:26,1,2.01,-73.9486846924,40.7823600769,1,N,-73.9570846558,40.801990509,1,9.5,0.5,0.5,2.16,0.0,0.3,12.96
43,2,2015-01-25 00:13:06,2015-01-25 00:24:51,1,3.37,-73.9455108643,40.7737236023,1,N,-73.9874343872,40.7557067871,1,12.5,0.5,0.5,0.0,0.0,0.3,13.8
44,2,2015-01-25 00:13:06,2015-01-25 00:22:20,1,1.35,-73.9339447021,40.7628517151,1,N,-73.9170227051,40.7709465027,1,8.0,0.5,0.5,0.7,0.0,0.3,10.0
45,2,2015-01-25 00:13:06,2015-01-25 00:18:30,1,1.18,-73.9830245972,40.7678184509,1,N,-73.9683074951,40.7631492615,1,6.0,0.5,0.5,1.8,0.0,0.3,9.1
46,2,2015-01-25 00:13:06,2015-01-25 00:21:15,5,2.05,-73.9909591675,40.7348213196,1,N,-73.9907302856,40.7553710938,1,8.5,0.5,0.5,1.96,0.0,0.3,11.76
47,2,2015-01-25 00:13:06,2015-01-25 00:34:32,1,3.05,-73.9916381836,40.7270889282,1,N,-73.951713562,40.7147789001,1,16.5,0.5,0.5,5.34,0.0,0.3,23.14
48,2,2015-01-25 00:13:07,2015-01-25 00:27:08,4,3.06,-73.9926376343,40.7237930298,1,N,-73.964050293,40.7568664551,1,12.5,0.5,0.5,2.76,0.0,0.3,16.56
